msgid,openatv,openhdf,openpli,openvix,APPEARANCES,UNIQUES,DUPLICATES,EMPTIES
Increased voltage,Ferheeche spanning,Ferheeche spanning,Ferheeche spanning,Ferheeche spanning,4,1,3,0
Index,,,Yndex,,1,1,0,0
Information,Ynformaasje,Ynformaasje,Ynformaasje,Ynformaasje,4,1,3,0
Init,Initialisearje,Initialisearje,Initialisearje,Initialisearje,4,1,3,0
Initialize,Formattearje HDD,Formattearje HDD,Formattearje HDD,Formattearje HDD,4,1,3,0
Input,Ynfier,Ynfier,Ynfier,Ynfier,4,1,3,0
Installing,Oan it ynstallearjen,Oan it ynstallearjen,Oan it ynstallearjen,Oan it ynstallearjen,4,1,3,0
Invalid directory selected: %s,Unjildige map selektearre: %s,Unjildige map selektearre: %s,Unjildige map selektearre: %s,Unjildige map selektearre: %s,4,1,3,0
Inversion,Infertearring,Infertearring,Infertearring,Infertearring,4,1,3,0
Italian,Italiaansk,Italiaansk,Italiaansk,Italiaansk,4,1,3,0
LNB,,'','','',3,0,0,3
Language,Taal,Taal,Taal,Taal,4,1,3,0
Language selection,Taal Kieze,Taal Kieze,Taal Kieze,Taal Kieze,4,1,3,0
Last speed,Lêste faasje,Lêste faasje,Lêste faasje,Lêste faasje,4,1,3,0
Latitude,Bridtegraad,Bridtegraad,Bridtegraad,Bridtegraad,4,1,3,0
Left,Links,Links,Links,Links,4,1,3,0
Letterbox,,'','','',3,0,0,3
Limit east,Limyt east,Limyt east,Limyt east,Limyt east,4,1,3,0
Limit west,Limyt west,Limyt west,Limyt west,Limyt west,4,1,3,0
Limits off,Limyten út,Limyten út,Limyten út,Limyten út,4,1,3,0
Limits on,Limyt oan,Limyt oan,Limyt oan,Limyt oan,4,1,3,0
Link:,,'','','',3,0,0,3
Linked titles with a DVD menu,Keppele titels mei in DVD menu,Keppele titels mei in DVD menu,Keppele titels mei in DVD menu,Keppele titels mei in DVD menu,4,1,3,0
Lithuanian,Lithuaniansk,Lithuaniansk,Lithuaniansk,Lithuaniansk,4,1,3,0
Load,Laad,Laad,Laad,Laad,4,1,3,0
Location,Doel,Doel,Doel,Doel,4,1,3,0
Lock:,,,Slot:,,1,1,0,0
Longitude,Lingtegraad,Lingtegraad,Lingtegraad,Lingtegraad,4,1,3,0
MORE,,,MEER,,1,1,0,0
Main menu,Haad menu,Haad menu,Haad menu,Haad menu,4,1,3,0
Make this mark an 'in' point,Markeer dit as in 'yn' punt,Markeer dit as in 'yn' punt,Markeer dit as in 'yn' punt,Markeer dit as in 'yn' punt,4,1,3,0
Make this mark an 'out' point,Markeer dit as in 'út' punt,Markeer dit as in 'út' punt,Markeer dit as in 'út' punt,Markeer dit as in 'út' punt,4,1,3,0
Make this mark just a mark,Meitsje dit in gewoan markeer punt,Meitsje dit in gewoan markeer punt,Meitsje dit in gewoan markeer punt,Meitsje dit in gewoan markeer punt,4,1,3,0
Manual Scan,Hanmatig sykje,Hanmatig sykje,Hanmatig sykje,Hanmatig sykje,4,1,3,0
Manual transponder,Hanmatige transponder,Hanmatige transponder,Hanmatige transponder,Hanmatige transponder,4,1,3,0
Media player,Media Spieler,Media Spieler,Media Spieler,Media Spieler,4,1,3,0
Medium is not a writeable DVD!,Medium is net in skriuwbêre DVD!,Medium is net in skriuwbêre DVD!,Medium is net in skriuwbêre DVD!,Medium is net in skriuwbêre DVD!,4,1,3,0
Medium is not empty!,Medium is net leech!,Medium is net leech!,Medium is net leech!,Medium is net leech!,4,1,3,0
Menu,,'','','',3,0,0,3
Message,,,Berjocht,,1,1,0,0
Model: ,,'','','',3,0,0,3
Modulation,Modulaasje,Modulaasje,Modulaasje,Modulaasje,4,1,3,0
Modulator,,'','','',3,0,0,3
Mon,Moan,Moan,Moan,Moan,4,1,3,0
Mon-Fri,Moan - Fre,Moan - Fre,Moan - Fre,Moan - Fre,4,1,3,0
Monday,Moandei,Moandei,Moandei,Moandei,4,1,3,0
Move Picture in Picture,,Ferpleats Byld yn Byld,Ferpleats Byld yn Byld,Ferpleats Byld yn Byld,3,1,2,0
Move east,Draai nei east,Draai nei east,Draai nei east,Draai nei east,4,1,3,0
Move west,Draai nei west,Draai nei west,Draai nei west,Draai nei west,4,1,3,0
Movielist menu,,,Filmlyst menu,,1,1,0,0
Multi EPG,,'','','',3,0,0,3
Multiple service support,Kin meardere utstjoeringen oan,Kin meardere utstjoeringen oan,Kin meardere utstjoeringen oan,Kin meardere utstjoeringen oan,4,1,3,0
Multisat,,'','','',3,0,0,3
Mute,,,'',,1,0,0,1
N/A,Net oanwêzig,Net oanwêzig,Net oanwêzig,Net oanwêzig,4,1,3,0
NEXT,,,Folgende,,1,1,0,0
NOW,,,No,,1,1,0,0
NTSC,,'','','',3,0,0,3
Name,Namme,Namme,Namme,Namme,4,1,3,0
Nameserver,Nammeserver,Nammeserver,Nammeserver,Nammeserver,4,1,3,0
Nameserver %d,Nammeserver %d,Nammeserver %d,Nammeserver %d,Nammeserver %d,4,1,3,0
Nameserver settings,Nammeserver ynstellingen,Nammeserver ynstellingen,Nammeserver ynstellingen,Nammeserver ynstellingen,4,1,3,0
Netmask,Netmasker,Netmasker,Netmasker,Netmasker,4,1,3,0
Network scan,Netwurk ôfsykje,Netwurk ôfsykje,Netwurk ôfsykje,Netwurk ôfsykje,4,1,3,0
Network setup,Netwurk ynstellingen,Netwurk ynstellingen,Netwurk ynstellingen,,3,1,2,0
Network test,Netwurk test,Netwurk test,Netwurk test,Netwurk test,4,1,3,0
Network test...,,,Netwurk test...,,1,1,0,0
Network:,Netwurk:,Netwurk:,Netwurk:,Netwurk:,4,1,3,0
New,Nij,Nij,Nij,Nij,4,1,3,0
No,Nee,Nee,Nee,Nee,4,1,3,0
No (supported) DVDROM found!,Gjin (ondersteunde) DVDROM fûn!,Gjin (ondersteunde) DVDROM fûn!,Gjin (ondersteunde) DVDROM fûn!,Gjin (ondersteunde) DVDROM fûn!,4,1,3,0
No HDD found or HDD not initialized!,Gjin hurde skiif fûn of HDD net formatearre!,Gjin hurde skiif fûn of HDD net formatearre!,Gjin hurde skiif fûn of HDD net formatearre!,Gjin hurde skiif fûn of HDD net formatearre!,4,1,3,0
No data on transponder!\n(Timeout reading PAT),Gjin data op transponder\n(tiid fan lêzen PAT),Gjin data op transponder\n(tiid fan lêzen PAT),Gjin data op transponder\n(tiid fan lêzen PAT),Gjin data op transponder\n(tiid fan lêzen PAT),4,1,3,0
"No event info found, recording indefinitely.","Gjin barren ynfo fûn, giit foar altiid troch mei opnimmen..","Gjin barren ynfo fûn, giit foar altiid troch mei opnimmen..","Gjin barren ynfo fûn, giit foar altiid troch mei opnimmen..","Gjin barren ynfo fûn, giit foar altiid troch mei opnimmen..",4,1,3,0
No free tuner!,Gjin tuner oer,Gjin tuner oer,Gjin tuner oer,Gjin tuner oer,4,1,3,0
No positioner capable frontend found.,Gjin posysjesyker foarein fûn.,Gjin posysjesyker foarein fûn.,Gjin posysjesyker foarein fûn.,Gjin posysjesyker foarein fûn.,4,1,3,0
No tags are set on these movies.,Gjin merkers oanwêzig op dizze films,Gjin merkers oanwêzig op dizze films,Gjin merkers oanwêzig op dizze films,Gjin merkers oanwêzig op dizze films,4,1,3,0
No tuner is configured for use with a diseqc positioner!,Der is gjin tuner ynsteld foar gebrûk mei in diseqc posysje syker!,Der is gjin tuner ynsteld foar gebrûk mei in diseqc posysje syker!,Der is gjin tuner ynsteld foar gebrûk mei in diseqc posysje syker!,Der is gjin tuner ynsteld foar gebrûk mei in diseqc posysje syker!,4,1,3,0
No tuner is enabled!\nPlease setup your tuner settings before you start a service scan.,Gjin tuner aktief!\nStel dizze earst yn foar jo kanalen sykje kinne.,Gjin tuner aktief!\nStel dizze earst yn foar jo kanalen sykje kinne.,Gjin tuner aktief!\nStel dizze earst yn foar jo kanalen sykje kinne.,Gjin tuner aktief!\nStel dizze earst yn foar jo kanalen sykje kinne.,4,1,3,0
No working local network adapter found.\nPlease verify that you have attached a network cable and your network is configured correctly.,Gjin wurkende netwurk adatpter fûn.\nSjoch nei ot in kabel oanslúten is en it netwurk goed ynsteld is.,Gjin wurkende netwurk adatpter fûn.\nSjoch nei ot in kabel oanslúten is en it netwurk goed ynsteld is.,Gjin wurkende netwurk adatpter fûn.\nSjoch nei ot in kabel oanslúten is en it netwurk goed ynsteld is.,Gjin wurkende netwurk adatpter fûn.\nSjoch nei ot in kabel oanslúten is en it netwurk goed ynsteld is.,4,1,3,0
No working wireless network adapter found.\nPlease verify that you have attached a compatible WLAN device and your network is configured correctly.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is en it netwurk goed ynsteld is.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is en it netwurk goed ynsteld is.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is en it netwurk goed ynsteld is.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is en it netwurk goed ynsteld is.,4,1,3,0
No working wireless network interface found.\n Please verify that you have attached a compatible WLAN device or enable your local network interface.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is of skeakelje de lokale netwurk ynterface yn.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is of skeakelje de lokale netwurk ynterface yn.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is of skeakelje de lokale netwurk ynterface yn.,Gjin wurkende triidloaze netwurk adatpter fûn.\nSjoch nei ot in WLAN adapter oanslúten is of skeakelje de lokale netwurk ynterface yn.,4,1,3,0
"No, but restart from begin","Nee, mar start fanôf it begjin","Nee, mar start fanôf it begjin","Nee, mar start fanôf it begjin",,3,1,2,0
None,Gjin,Gjin,Gjin,Gjin,4,1,3,0
Nonlinear,,,Net lineair,,1,1,0,0
North,Noard,Noard,Noard,Noard,4,1,3,0
Norwegian,Noarsk,Noarsk,Noarsk,Noarsk,4,1,3,0
Nothing to scan!\nPlease setup your tuner settings before you start a service scan.,"Neat te sykjen\nEarst de tuner ynstellingen dwaan, foar jo senders sykje kinne.","Neat te sykjen\nEarst de tuner ynstellingen dwaan, foar jo senders sykje kinne.","Neat te sykjen\nEarst de tuner ynstellingen dwaan, foar jo senders sykje kinne.","Neat te sykjen\nEarst de tuner ynstellingen dwaan, foar jo senders sykje kinne.",4,1,3,0
"Now, use the contrast setting to turn up the brightness of the background as much as possible, but make sure that you can still see the difference between the two brightest levels of shades.If you have done that, press OK.",,,"No, feroare it helderens nivo en set it sa heech, mar wêz seker dat jo altiid nog it ferskil sjogge tusken de twa helderste skaadnivos.Binne jo klear, druk OK",,1,1,0,0
OK,Ok,Ok,Ok,Ok,4,1,3,0
Off,Ut,Ut,Ut,Ut,4,1,3,0
On,Oan,Oan,Oan,Oan,4,1,3,0
One,Ien,Ien,Ien,Ien,4,1,3,0
PAL,,'','','',3,0,0,3
Package list update,Bywurkje pakketlyst  ,Bywurkje pakketlyst  ,Bywurkje pakketlyst  ,Bywurkje pakketlyst  ,4,1,3,0
Packet management,Pakket beheer,Pakket beheer,Pakket beheer,Pakket beheer,4,1,3,0
Parental control,Alderlik tasjoch,Alderlik tasjoch,Alderlik tasjoch,Alderlik tasjoch,4,1,3,0
Parental control setup,Alderlik tasjoch,Alderlik tasjoch,Alderlik tasjoch,,3,1,2,0
Pause movie at end,Film op pause by ein,Film op pause by ein,Film op pause by ein,Film op pause by ein,4,1,3,0
Pillarbox,Pillar %s %s,Pillar %s %s,Pillar box,Pillar %s %s,4,2,2,0
Pilot,,'','','',3,0,0,3
Play,,Ofspylje,Ofspylje,Ofspylje,3,1,2,0
Play recorded movies...,Opname films ôfspielje...,Opname films ôfspielje...,Opname films ôfspielje...,Opname films ôfspielje...,4,1,3,0
Please change recording endtime,Graach eintiid fan it opnimmen feroarje.,Graach eintiid fan it opnimmen feroarje.,Graach eintiid fan it opnimmen feroarje.,,3,1,2,0
Please choose an extension...,Kies in uitbreiding...,Kies in uitbreiding...,Kies in uitbreiding...,Kies in uitbreiding...,4,1,3,0
Please do not change any values unless you know what you are doing!,"Feroarje gjin waarden, wannear jo net witte wat jo dogge!","Feroarje gjin waarden, wannear jo net witte wat jo dogge!","Feroarje gjin waarden, wannear jo net witte wat jo dogge!","Feroarje gjin waarden, wannear jo net witte wat jo dogge!",4,1,3,0
Please enter a name for the new bouquet,Namme ynjefte foar it nije bouquet,Namme ynjefte foar it nije bouquet,Namme ynjefte foar it nije bouquet,Namme ynjefte foar it nije bouquet,4,1,3,0
Please enter a name for the new marker,Namme ynjefte foar in nije markering,Namme ynjefte foar in nije markering,Namme ynjefte foar in nije markering,Namme ynjefte foar in nije markering,4,1,3,0
Please enter a new filename,Jou in nije bestânnamme yn,Jou in nije bestânnamme yn,Jou in nije bestânnamme yn,Jou in nije bestânnamme yn,4,1,3,0
Please enter filename (empty = use current date),Jou in triemnamme yn (leech = datum fan hjoed),Jou in triemnamme yn (leech = datum fan hjoed),Jou in triemnamme yn (leech = datum fan hjoed),Jou in triemnamme yn (leech = datum fan hjoed),4,1,3,0
Please enter name of the new directory,Jou in namme yn foar de nije map,Jou in namme yn foar de nije map,Jou in namme yn foar de nije map,,3,1,2,0
Please enter the correct pin code,Graach de júste pinkode yn jaan,Graach de júste pinkode yn jaan,Graach de júste pinkode yn jaan,Graach de júste pinkode yn jaan,4,1,3,0
Please follow the instructions on the TV,Folgje de ynstruksjes op TV,Folgje de ynstruksjes op TV,Folgje de ynstruksjes op TV,Folgje de ynstruksjes op TV,4,1,3,0
Please note that the previously selected media could not be accessed and therefore the default directory is being used instead.,"Tink der om dat de foarige selektearre media net oansprutsen wurde koe, en dêrom de standert map brûkt wurd.","Tink der om dat de foarige selektearre media net oansprutsen wurde koe, en dêrom de standert map brûkt wurd.","Tink der om dat de foarige selektearre media net oansprutsen wurde koe, en dêrom de standert map brûkt wurd.","Tink der om dat de foarige selektearre media net oansprutsen wurde koe, en dêrom de standert map brûkt wurd.",4,1,3,0
Please press OK to continue.,Druk OK om fierder te gean.,Druk OK om fierder te gean.,Druk OK om fierder te gean.,Druk OK om fierder te gean.,4,1,3,0
Please select a playlist to delete...,Selektearje in ofspiellyst om te ferwiderjen...,Selektearje in ofspiellyst om te ferwiderjen...,Selektearje in ofspiellyst om te ferwiderjen...,Selektearje in ofspiellyst om te ferwiderjen...,4,1,3,0
Please select a playlist...,Selektearje in ofspiellyst,Selektearje in ofspiellyst,Selektearje in ofspiellyst,Selektearje in ofspiellyst,4,1,3,0
Please select a subservice to record...,"Jou in undersender op, om op te nimmen.","Jou in undersender op, om op te nimmen.","Jou in undersender op, om op te nimmen.","Jou in undersender op, om op te nimmen.",4,1,3,0
Please select a subservice...,Selektearje in undersender...,Selektearje in undersender...,Selektearje in undersender...,Selektearje in undersender...,4,1,3,0
Please select tag to filter...,Selektearje diel foar it filterjen...,Selektearje diel foar it filterjen...,Selektearje diel foar it filterjen...,,3,1,2,0
Please select the movie path...,Selektearje it paad nei de film,Selektearje it paad nei de film,Selektearje it paad nei de film,Selektearje it paad nei de film,4,1,3,0
Please set up tuner B,ynstelle fan tuner B,ynstelle fan tuner B,ynstelle fan tuner B,ynstelle fan tuner B,4,1,3,0
Please set up tuner C,ynstelle fan tuner C,ynstelle fan tuner C,ynstelle fan tuner C,ynstelle fan tuner C,4,1,3,0
Please set up tuner D,ynstelle fan tuner D,ynstelle fan tuner D,ynstelle fan tuner D,ynstelle fan tuner D,4,1,3,0
Please use direction keys to move the PiP window.\nPress Bouquet +/- to resize the window.\nPress OK to go back to the TV mode or EXIT to cancel the moving.,Pylkje knoppen om BIB finster te ferskowen.\nDruk Bouquet +/- om finstergrutte te feroarjen,Pylkje knoppen om BIB finster te ferskowen.\nDruk Bouquet +/- om finstergrutte te feroarjen,Pylkje knoppen om BIB finster te ferskowen.\nDruk Bouquet +/- om finstergrutte te feroarjen,,3,1,2,0
Please use the UP and DOWN keys to select your language. Afterwards press the OK button.,Brúk de op en del toets om jo taal te kiezen. Dernei druk op OK,Brúk de op en del toets om jo taal te kiezen. Dernei druk op OK,Brúk de op en del toets om jo taal te kiezen. Dernei druk op OK,,3,1,2,0
Please wait for activation of your network configuration...,Wachtsje op it aktief wurden fan de netwurk konfiguraasje,Wachtsje op it aktief wurden fan de netwurk konfiguraasje,Wachtsje op it aktief wurden fan de netwurk konfiguraasje,,3,1,2,0
Please wait while we configure your network...,Wachtsje oant it netwurk ynstelt wurden is...,Wachtsje oant it netwurk ynstelt wurden is...,Wachtsje oant it netwurk ynstelt wurden is...,Wachtsje oant it netwurk ynstelt wurden is...,4,1,3,0
Please wait while your network is restarting...,Wachtsje oant it netwurk opnei start is...,Wachtsje oant it netwurk opnei start is...,Wachtsje oant it netwurk opnei start is...,,3,1,2,0
Please wait...,Graach eefkes wachtsje..,Graach eefkes wachtsje..,Graach eefkes wachtsje..,Graach eefkes wachtsje..,4,1,3,0
Please wait... Loading list...,Lyst wurd laden...,Lyst wurd laden...,Lyst wurd laden...,Lyst wurd laden...,4,1,3,0
Plugin browser,,,Ynstekker browser,,1,1,0,0
Plugins,Ynstekkers,Ynstekkers,Ynstekkers,Ynstekkers,4,1,3,0
Polarization,Polarisaasje,Polarisaasje,Polarisaasje,Polarisaasje,4,1,3,0
Polish,Poolsk,Poolsk,Poolsk,Poolsk,4,1,3,0
Port A,Poort A,Poort A,Poort A,Poort A,4,1,3,0
Port B,Poort B,Poort B,Poort B,Poort B,4,1,3,0
Port C,Poort C,Poort C,Poort C,Poort C,4,1,3,0
Port D,Poort D,Poort D,Poort D,Poort D,4,1,3,0
Portuguese,Portugeesk,Portugeesk,Portugeesk,Portugeesk,4,1,3,0
Positioner,Rotor,Rotor,Rotor,Rotor,4,1,3,0
Positioner setup,Rotor ynstellingen,Rotor ynstellingen,Rotor ynstellingen,Rotor ynstellingen,4,1,3,0
Power threshold in mA,Stroom nivo yn mA,Stroom nivo yn mA,Stroom nivo yn mA,Stroom nivo yn mA,4,1,3,0
Predefined transponder,Foarôf ynstelde transponder,Foarôf ynstelde transponder,Foarôf ynstelde transponder,Foarôf ynstelde transponder,4,1,3,0
Preparing... Please wait,Foarbereide fan... Eefkes wachtsje,Foarbereide fan... Eefkes wachtsje,Foarbereide fan... Eefkes wachtsje,Foarbereide fan... Eefkes wachtsje,4,1,3,0
Press OK on your remote control to continue.,Druk OK op of ôfstandsbestjinning om fierder te gean.,Druk OK op of ôfstandsbestjinning om fierder te gean.,Druk OK op of ôfstandsbestjinning om fierder te gean.,Druk OK op of ôfstandsbestjinning om fierder te gean.,4,1,3,0
Press OK to activate the settings.,Druk Ok om ynstellingen aktief te meitsjen.,Druk Ok om ynstellingen aktief te meitsjen.,Druk Ok om ynstellingen aktief te meitsjen.,Druk Ok om ynstellingen aktief te meitsjen.,4,1,3,0
Press OK to edit the settings.,Druk OK om dizze ynstellingen te bewurkjen,Druk OK om dizze ynstellingen te bewurkjen,Druk OK om dizze ynstellingen te bewurkjen,Druk OK om dizze ynstellingen te bewurkjen,4,1,3,0
Press OK to scan,Druk Ok om te sykjen,Druk Ok om te sykjen,Druk Ok om te sykjen,Druk Ok om te sykjen,4,1,3,0
Preview,Foar-oanskouwing,Foar-oanskouwing,Foar-oanskouwing,Foar-oanskouwing,4,1,3,0
Preview menu,Foarige menu,Foarige menu,Foarige menu,Foarige menu,4,1,3,0
Primary DNS,Eerste DNS,Eerste DNS,Eerste DNS,Eerste DNS,4,1,3,0
Properties of current title,Eigenskippen fan dizze titel,Eigenskippen fan dizze titel,Eigenskippen fan dizze titel,Eigenskippen fan dizze titel,4,1,3,0
Protect services,Befeilich kanalen,Befeilich kanalen,Befeilich kanalen,Befeilich kanalen,4,1,3,0
Provider,Leveransier,Leveransier,Leveransier,Leveransier,4,1,3,0
Providers,,'','','',3,0,0,3
RF output,RF Ynstellingen,RF Ynstellingen,RF Ynstellingen,,3,1,2,0
RGB,,'','','',3,0,0,3
Radio,,,'',,1,0,0,1
Really close without saving settings?,Slúte sunder op te slaan ?,Slúte sunder op te slaan ?,Slúte sunder op te slaan ?,Slúte sunder op te slaan ?,4,1,3,0
Really delete done timers?,Ferwiderje diene tiidsbarren?,Ferwiderje diene tiidsbarren?,Ferwiderje diene tiidsbarren?,,3,1,2,0
Really exit the subservices quickzap?,De undersender rapzap ôfslúte?,De undersender rapzap ôfslúte?,De undersender rapzap ôfslúte?,De undersender rapzap ôfslúte?,4,1,3,0
Really reboot now?,Wier no kompleet opnei starte ?,Wier no kompleet opnei starte ?,Wier no kompleet opnei starte ?,Wier no kompleet opnei starte ?,4,1,3,0
Really restart now?,Wier no nei starte ?,Wier no nei starte ?,Wier no nei starte ?,Wier no nei starte ?,4,1,3,0
Really shutdown now?,Wier no kompleet útskeakelje ?,Wier no kompleet útskeakelje ?,Wier no kompleet útskeakelje ?,Wier no kompleet útskeakelje ?,4,1,3,0
Reboot,kompleet nei starte,kompleet nei starte,kompleet nei starte,kompleet nei starte,4,1,3,0
Record,Opnimme,Opnimme,Opnimme,Opnimme,4,1,3,0
Recorded files...,,,Opnâme bestannen...,,1,1,0,0
Recording,An it opnimmen,An it opnimmen,An it opnimmen,An it opnimmen,4,1,3,0
Recording(s) are in progress or coming up in few seconds!,In Opnimmen is dwaande of start binnen in pear sekonden!,In Opnimmen is dwaande of start binnen in pear sekonden!,In Opnimmen is dwaande of start binnen in pear sekonden!,In Opnimmen is dwaande of start binnen in pear sekonden!,4,1,3,0
Recordings always have priority,Opnimmen hat altiid foarrang,Opnimmen hat altiid foarrang,Opnimmen hat altiid foarrang,Opnimmen hat altiid foarrang,4,1,3,0
Refresh rate selection.,Fernij faasje seleksje,Fernij faasje seleksje,Fernij faasje seleksje,Fernij faasje seleksje,4,1,3,0
Remove a mark,Ferwiderje in Markeerder,Ferwiderje in Markeerder,Ferwiderje in Markeerder,Ferwiderje in Markeerder,4,1,3,0
Remove all alternatives,,,Ferwiderje alle alternatieven,,1,1,0,0
Remove all new found flags,,,Ferwiderje nij fûn flaggen,,1,1,0,0
Remove currently selected title,Ferwiderje it selektearre bestan,Ferwiderje it selektearre bestan,Ferwiderje it selektearre bestan,Ferwiderje it selektearre bestan,4,1,3,0
Remove directory,,,Map ferwiderje,,1,1,0,0
Remove entry,,,Ferwiderje yngong,,1,1,0,0
Remove from parental protection,,,Ferwiderje út alderlik tasjoch,,1,1,0,0
Remove new found flag,,,Ferwiderje nij fun flagge,,1,1,0,0
Remove plugins,Ferwiderje ynstekker,Ferwiderje ynstekker,Ferwiderje ynstekker,Ferwiderje ynstekker,4,1,3,0
Remove selected satellite,,,Selektearre sat ferwiderje,,1,1,0,0
Remove title,Ferwiderje de titel,Ferwiderje de titel,Ferwiderje de titel,Ferwiderje de titel,4,1,3,0
Removing directory %s failed. (Maybe not empty.),Ferwiderje fan map %s mislearre ( miskien is der net leech ),Ferwiderje fan map %s mislearre ( miskien is der net leech ),Ferwiderje fan map %s mislearre ( miskien is der net leech ),Ferwiderje fan map %s mislearre ( miskien is der net leech ),4,1,3,0
Rename,Omneame,Omneame,Omneame,Omneame,4,1,3,0
Repeat playlist,,,ôfspyllyst opnei spylje,,1,1,0,0
Repeating event currently recording... What do you want to do?,Herhelle barren an it opnimmen... Wat wolle jo dwaan ?,Herhelle barren an it opnimmen... Wat wolle jo dwaan ?,Herhelle barren an it opnimmen... Wat wolle jo dwaan ?,Herhelle barren an it opnimmen... Wat wolle jo dwaan ?,4,1,3,0
Repeats,Herhellingen,Herhellingen,Herhellingen,Herhellingen,4,1,3,0
Reset,,'','','',3,0,0,3
Reset and renumerate title names,Titel nammen opnei oanmeitsje en nûmerje..,Titel nammen opnei oanmeitsje en nûmerje..,Titel nammen opnei oanmeitsje en nûmerje..,Titel nammen opnei oanmeitsje en nûmerje..,4,1,3,0
Resolution,Skermresolusje,Skermresolusje,Skermresolusje,Skermresolusje,4,1,3,0
Restart,Opnij starte,Opnij starte,Opnij starte,Opnij starte,4,1,3,0
Restart GUI now?,GUI no opnij starte?,GUI no opnij starte?,GUI no opnij starte?,GUI no opnij starte?,4,1,3,0
Restart network,Netwurk nij starte,Netwurk nij starte,Netwurk nij starte,Netwurk nij starte,4,1,3,0
Restart test,Test nij starte,Test nij starte,Test nij starte,Test nij starte,4,1,3,0
Restart your network connection and interfaces.\n,netwurk oanslúting en interfaces nij starte.\n,netwurk oanslúting en interfaces nij starte.\n,netwurk oanslúting en interfaces nij starte.\n,netwurk oanslúting en interfaces nij starte.\n,4,1,3,0
Restore,Werom sette,Werom sette,Werom sette,Werom sette,4,1,3,0
Resume from last position,Fierder gean fanôf lêste posysje,Fierder gean fanôf lêste posysje,Fierder gean fanôf lêste posysje,Fierder gean fanôf lêste posysje,4,1,3,0
Resuming playback,Fierder gean mei ôfspieljen,Fierder gean mei ôfspieljen,Fierder gean mei ôfspieljen,Fierder gean mei ôfspieljen,4,1,3,0
Return to movie list,Werom nei de film lyst,Werom nei de film lyst,Werom nei de film lyst,Werom nei de film lyst,4,1,3,0
Return to previous service,Werom nei foariche service,Werom nei foariche service,Werom nei foariche service,Werom nei foariche service,4,1,3,0
Rewind speeds,Werom spiel faasje,Werom spiel faasje,Werom spiel faasje,Werom spiel faasje,4,1,3,0
Right,Rjochts,Rjochts,Rjochts,Rjochts,4,1,3,0
Rotor turning speed,Rotor rotaasje faasje,Rotor rotaasje faasje,Rotor rotaasje faasje,Rotor rotaasje faasje,4,1,3,0
Russian,Russysk,Russysk,Russysk,Russysk,4,1,3,0
S-Video,S Video,S Video,S Video,S Video,4,1,3,0
SNR,,,'',,1,0,0,1
SNR:,,,'',,1,0,0,1
Sat,Sneon,Sneon,Sneon,Sneon,4,1,3,0
Satellite,Satellyt,Satellyt,Satellyt,Satellyt,4,1,3,0
Satellites,Satellyten,Satellyten,Satellyten,Satellyten,4,1,3,0
Sats,,'','','',3,0,0,3
Saturday,Sneon,Sneon,Sneon,Sneon,4,1,3,0
Save,Opslaan,Opslaan,Opslaan,Opslaan,4,1,3,0
Save last directory on exit,,,Lêste map opslaan by ôfsluten,,1,1,0,0
Save playlist on exit,,,Ofspiellyst opslaan by ôfsluten,,1,1,0,0
Scan ,Sykje,Sykje,Sykje,Sykje,4,1,3,0
Scan additional SR,Sykje op in oanfullende SR,Sykje op in oanfullende SR,Sykje op in oanfullende SR,Sykje op in oanfullende SR,4,1,3,0
Scans default lamedbs sorted by satellite with a connected dish positioner,"Sykje standert lame dbs, neffens de sattelyt mei in oanslúten panne ôfsteller","Sykje standert lame dbs, neffens de sattelyt mei in oanslúten panne ôfsteller","Sykje standert lame dbs, neffens de sattelyt mei in oanslúten panne ôfsteller","Sykje standert lame dbs, neffens de sattelyt mei in oanslúten panne ôfsteller",4,1,3,0
Search east,Sykje east,Sykje east,Sykje east,Sykje east,4,1,3,0
Search west,Sykje west,Sykje west,Sykje west,Sykje west,4,1,3,0
Secondary DNS,Twadde DNS,Twadde DNS,Twadde DNS,Twadde DNS,4,1,3,0
Seek,Sykje,Sykje,Sykje,Sykje,4,1,3,0
Select HDD,,,Kies hurde skiif,,1,1,0,0
Select a movie,,,Kies in film,,1,1,0,0
Select audio track,Kies lûd spoor,Kies lûd spoor,Kies lûd spoor,Kies lûd spoor,4,1,3,0
Select channel to record from,Kies kanaal om fan op te nimmen,Kies kanaal om fan op te nimmen,Kies kanaal om fan op te nimmen,Kies kanaal om fan op te nimmen,4,1,3,0
Select refresh rate,Kies faasje fan fernije,Kies faasje fan fernije,Kies faasje fan fernije,Kies faasje fan fernije,4,1,3,0
